,sentence1,sentence2,Jaccard_score,TFIDF_cosine_score,USE_cosine_score,SBERT CrossEncoder_score
0,Primary sludge is pebbles and soil that settle down during primary treatment of sewage while activated sludge is the sediment of bacterial flocs in settling tank during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of  sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.625,0.932023459,0.9125619,0.9171539
1,Primary sludge is all solids like soil small pebbles etc Activated sludge is sediment of bacterial flocs,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.458333333,0.5531885,0.75014985,0.8392716
2,Soil and small pebbles that settle down in settling tank during primary treatment of sewage constitutes primary sludge and activated sludge consists of bacterial flocs in settling tank during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.653846154,0.941212982,0.9048299,0.87938726
3,Sludge is the sediment formed in the settling tank during the treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.208333333,0.591778916,0.7422747,0.7326482
4,Activated sludge is formed by the bacterial flocs during biological treatment Primary sludge is formed of solids like soil small pebbles etc,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.461538462,0.56678053,0.74176335,0.87251127
5,Primary sludge and activated sludge are two different kinds of sediment got during the treatment of sewage The former is got during primary treatment of sewage while the latter is formed during biological treatment,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.258064516,0.590461777,0.6797551,0.63016623
6,Primary sludge is formed during the prmary treatment of sewage Activated sludge is formed during the biological treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.259259259,0.521053694,0.6392958,0.67615056
7,Solids like soil and small pebbles got during treatment of sewage is called primary sludge bacterial flocs sediment formed during the treatment is called activated sludge,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.413793103,0.570176742,0.7871928,0.8899671
8,Activated sludge is composed of bacterial sediment formed during biological treatment and primary sludge is composed of small pebbles and soil during the primary treatment of sewage,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.5,0.743144747,0.74536383,0.883096
9,Sediment formed during primary treatment of sewage and consistes of soil and small pebbles is called primary sludge and bacterial sediment formed during the biological treatment is called activated sludge,Primary sludge is all solids like soil small pebbles that settle down in settling tank during primary treatment of sewage Activated sluge is the sediment of bacterial flocs in settling tank during biological treatment,0.4,0.598138125,0.7400892,0.8710279
